window,time
WhatsApp,2023-12-14 21:45:44
My Drive - Google Drive - Google Chrome,2023-12-14 21:45:45
read and write csv python - Google Search - Google Chrome,2023-12-14 21:45:46
Task Switching,2023-12-14 21:45:47
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:45:48
,2023-12-14 21:47:24
Windows Default Lock Screen,2023-12-14 21:47:25
,2023-12-14 21:50:12
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:50:14
Sort Dictionary by Value in Python – How to Sort a Dict - Google Chrome,2023-12-14 21:50:16
Task Switching,2023-12-14 21:50:17
WhatsApp,2023-12-14 21:50:18
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:50:19
WhatsApp,2023-12-14 21:50:20
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:50:22
Task Switching,2023-12-14 21:50:23
Command Prompt,2023-12-14 21:50:24
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:50:32
moto g51 5G,2023-12-14 21:51:06
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:51:09
Task Switching,2023-12-14 21:51:30
Sort Dictionary by Value in Python – How to Sort a Dict - Google Chrome,2023-12-14 21:51:31
Toby - Google Chrome,2023-12-14 21:51:32
Task Switching,2023-12-14 21:51:33
Realtek Audio Console,2023-12-14 21:51:37
Internet Speed Test | Fast.com - Google Chrome,2023-12-14 21:51:41
Sort Dictionary by Value in Python – How to Sort a Dict - Google Chrome,2023-12-14 21:51:42
ChatGPT - Google Chrome,2023-12-14 21:51:44
Projects - Google Chrome,2023-12-14 21:51:45
(2) python csv - YouTube - Google Chrome,2023-12-14 21:51:48
Untitled - Google Chrome,2023-12-14 21:51:49
Toby - Google Chrome,2023-12-14 21:51:50
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:51:52
Task Switching,2023-12-14 21:51:57
*info.txt - Notepad,2023-12-14 21:52:00
"*[1508, 450 pm] +91 99714 48294 so t - Notepad",2023-12-14 21:52:02
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:52:03
Task Switching,2023-12-14 21:52:04
window2.csv - ttracker - Visual Studio Code,2023-12-14 21:52:05
Task Switching,2023-12-14 21:52:11
Command Prompt,2023-12-14 21:52:12
Task View,2023-12-14 21:52:23
Command Prompt,2023-12-14 21:52:24
Task Switching,2023-12-14 21:52:26
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:52:27
Search,2023-12-14 21:52:28
WhatsApp,2023-12-14 21:52:29
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:53:43
Task Switching,2023-12-14 21:53:53
Command Prompt,2023-12-14 21:53:54
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:53:58
Task Switching,2023-12-14 21:56:06
Command Prompt - py  reader.py,2023-12-14 21:56:07
Command Prompt,2023-12-14 21:56:08
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:56:09
window2.csv - ttracker - Visual Studio Code,2023-12-14 21:56:17
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:56:30
Task Switching,2023-12-14 21:57:02
Search,2023-12-14 21:57:03
WhatsApp,2023-12-14 21:57:04
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:57:31
WhatsApp,2023-12-14 21:57:47
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:57:57
WhatsApp,2023-12-14 21:58:43
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:59:03
WhatsApp,2023-12-14 21:59:05
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:59:11
Task Switching,2023-12-14 21:59:12
WhatsApp,2023-12-14 21:59:13
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 21:59:15
Task Switching,2023-12-14 22:00:21
WhatsApp,2023-12-14 22:00:22
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:00:23
WhatsApp,2023-12-14 22:00:26
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:00:50
WhatsApp,2023-12-14 22:00:53
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:00:55
WhatsApp,2023-12-14 22:01:37
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:02:06
WhatsApp,2023-12-14 22:02:12
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:02:13
WhatsApp,2023-12-14 22:02:18
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:02:32
Search,2023-12-14 22:06:37
WhatsApp,2023-12-14 22:06:38
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:06:40
Search,2023-12-14 22:08:04
WhatsApp,2023-12-14 22:08:05
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:08:15
window2.csv - ttracker - Visual Studio Code,2023-12-14 22:08:16
Task Switching,2023-12-14 22:08:21
Command Prompt,2023-12-14 22:08:23
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:08:26
Command Prompt,2023-12-14 22:08:27
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:08:28
Task Switching,2023-12-14 22:09:53
Command Prompt,2023-12-14 22:09:54
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:09:57
Task Switching,2023-12-14 22:09:59
Command Prompt,2023-12-14 22:10:00
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:10:01
WhatsApp,2023-12-14 22:10:03
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:10:06
,2023-12-14 22:11:53
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:11:54
Search,2023-12-14 22:11:55
Start,2023-12-14 22:11:56
WhatsApp,2023-12-14 22:11:57
Task Switching,2023-12-14 22:12:08
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:12:10
WhatsApp,2023-12-14 22:12:11
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:12:12
Task Switching,2023-12-14 22:12:13
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:12:14
Home,2023-12-14 22:12:15
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:12:16
Toby - Google Chrome,2023-12-14 22:12:17
Task Switching,2023-12-14 22:12:21
hannibal - Google Search - Google Chrome,2023-12-14 22:12:22
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:12:31
hannibal - Google Search - Google Chrome,2023-12-14 22:12:32
Netflix - Google Chrome,2023-12-14 22:12:33
Home - Netflix - Google Chrome,2023-12-14 22:12:35
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:12:36
Task Switching,2023-12-14 22:12:38
Command Prompt,2023-12-14 22:12:39
Task Switching,2023-12-14 22:12:45
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:12:46
Task Switching,2023-12-14 22:14:16
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:14:17
WhatsApp,2023-12-14 22:16:36
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:16:39
WhatsApp,2023-12-14 22:16:44
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:16:55
WhatsApp,2023-12-14 22:17:10
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:17:17
WhatsApp,2023-12-14 22:17:18
Realtek Audio Console,2023-12-14 22:17:35
,2023-12-14 22:17:37
WhatsApp,2023-12-14 22:17:41
,2023-12-14 22:17:58
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:17:59
Task Switching,2023-12-14 22:20:29
Command Prompt,2023-12-14 22:20:30
WhatsApp,2023-12-14 22:20:32
Command Prompt,2023-12-14 22:20:35
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-14 22:20:36
,2023-12-14 22:20:37
Windows Default Lock Screen,2023-12-14 22:20:38
,2023-12-14 22:28:30
,2023-12-14 22:28:32
Task Switching,2023-12-14 22:28:33
Command Prompt,2023-12-14 22:28:34
Task Switching,2023-12-14 22:28:35
Command Prompt,2023-12-14 22:28:36
Task Switching,2023-12-14 22:28:39
window2.csv - ttracker - Visual Studio Code,2023-12-14 22:28:40
Task Switching,2023-12-14 22:28:41
window2.csv - ttracker - Visual Studio Code,2023-12-14 22:28:42
Search,2023-12-14 22:28:52
window2.csv - ttracker - Visual Studio Code,2023-12-14 22:28:53
Search,2023-12-14 22:28:55
Home,2023-12-14 22:28:56
ttracker,2023-12-14 22:29:05
